iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.888255035175997,2.889804307152243,0.10477941176470588,48.41795063018799,False,,,1,cae6e971,671d9feae5544c5e8a9abf246f2cb400,2023-01-30_13-45-32,1675086332,48.41795063018799,4876,ML-RefVm-847530,10.0.0.15,48.41795063018799,0,1,0.0058863162994384766
0,2.8105062924179376,2.5358467663035675,0.12316176470588236,52.50507187843323,False,0,0,1,cae6e971,671d9feae5544c5e8a9abf246f2cb400,2023-01-30_13-49-02,1675086542,100.92302250862122,8961,ML-RefVm-847530,10.0.0.15,52.50507187843323,0,1,0.014234304428100586
1,2.241884140407338,2.021252863547381,0.28308823529411764,36.921013832092285,False,0,0,2,cae6e971,671d9feae5544c5e8a9abf246f2cb400,2023-01-30_13-49-38,1675086578,137.8440363407135,8961,ML-RefVm-847530,10.0.0.15,89.42608571052551,0,2,0.014234304428100586
2,1.5136336228426766,1.4288115711773144,0.5592830882352942,39.71262836456299,False,0,0,3,cae6e971,671d9feae5544c5e8a9abf246f2cb400,2023-01-30_13-50-18,1675086618,177.5566647052765,8961,ML-RefVm-847530,10.0.0.15,129.1387140750885,0,3,0.014234304428100586
0,2.864250893686332,2.7169716358184814,0.109375,43.72809839248657,False,0,0,1,cae6e971,671d9feae5544c5e8a9abf246f2cb400,2023-01-30_13-51-31,1675086691,221.28476309776306,14097,ML-RefVm-847530,10.0.0.15,43.72809839248657,0,1,0.009814023971557617
1,2.3561076323191323,2.063964885823867,0.2610294117647059,44.58790588378906,False,0,0,2,cae6e971,671d9feae5544c5e8a9abf246f2cb400,2023-01-30_13-52-16,1675086736,265.8726689815521,14097,ML-RefVm-847530,10.0.0.15,88.31600427627563,0,2,0.009814023971557617
2,1.5709410111109416,2.0182865507462444,0.45174632352941174,41.168702840805054,False,0,0,3,cae6e971,671d9feae5544c5e8a9abf246f2cb400,2023-01-30_13-52-57,1675086777,307.0413718223572,14097,ML-RefVm-847530,10.0.0.15,129.4847071170807,0,3,0.009814023971557617
3,1.0917866113139134,0.9821828428436729,0.7192095588235294,40.28436899185181,False,0,0,4,cae6e971,671d9feae5544c5e8a9abf246f2cb400,2023-01-30_13-53-37,1675086817,347.325740814209,14097,ML-RefVm-847530,10.0.0.15,169.7690761089325,0,4,0.009814023971557617
4,0.551913915311589,0.6337126844069537,0.8409926470588235,39.14285469055176,False,0,0,5,cae6e971,671d9feae5544c5e8a9abf246f2cb400,2023-01-30_13-54-16,1675086856,386.46859550476074,14097,ML-RefVm-847530,10.0.0.15,208.91193079948425,0,5,0.009814023971557617
5,0.31483256086414935,0.574057284523459,0.8727022058823529,36.30720281600952,False,0,0,6,cae6e971,671d9feae5544c5e8a9abf246f2cb400,2023-01-30_13-54-53,1675086893,422.77579832077026,14097,ML-RefVm-847530,10.0.0.15,245.21913361549377,0,6,0.009814023971557617
6,0.2191400400855962,0.5294777882449767,0.8772977941176471,48.20090651512146,False,0,0,7,cae6e971,671d9feae5544c5e8a9abf246f2cb400,2023-01-30_13-55-41,1675086941,470.9767048358917,14097,ML-RefVm-847530,10.0.0.15,293.42004013061523,0,7,0.009814023971557617
7,0.1297710400586035,0.5066279593636008,0.8883272058823529,45.97653245925903,False,0,0,8,cae6e971,671d9feae5544c5e8a9abf246f2cb400,2023-01-30_13-56-27,1675086987,516.9532372951508,14097,ML-RefVm-847530,10.0.0.15,339.39657258987427,0,8,0.009814023971557617
8,0.10339083486035758,0.39119435145574455,0.9048713235294118,39.580904483795166,False,0,0,9,cae6e971,671d9feae5544c5e8a9abf246f2cb400,2023-01-30_13-57-06,1675087026,556.5341417789459,14097,ML-RefVm-847530,10.0.0.15,378.97747707366943,0,9,0.009814023971557617
